Date, Num Users
2019-01-05,143834
2019-01-06,143905
2019-01-07,144036
2019-01-08,144105
2019-01-09,144189
2019-01-10,144355
2019-01-11,144470
2019-01-12,144567
2019-01-13,144633
2019-01-14,144729
2019-01-15,144865
2019-01-16,144988
2019-01-17,136061
2019-01-18,145249
2019-01-19,145397
2019-01-20,145475
2019-01-21,145585
2019-01-22,141375
2019-01-23,141534
2019-01-24,141677
2019-01-25,141805
2019-01-26,141905
2019-01-27,137889
2019-01-28,137987
2019-01-29,138135
2019-01-30,138271
2019-01-31,138393
2019-02-01,138508
2019-02-02,138601
2019-02-03,138678
2019-02-04,138745
2019-02-05,138858
2019-02-06,138971
2019-02-07,139083
2019-02-08,139176
2019-02-09,139246
2019-02-10,139347
2019-02-11,139469
2019-02-12,139582
2019-02-13,139737
2019-02-14,139878
2019-02-15,140019
2019-02-16,140136
2019-02-17,140232
2019-02-18,140349
2019-02-19,140480
2019-02-20,140619
2019-02-21,140757
2019-02-22,140904
2019-02-23,141031
2019-02-24,141105
2019-02-25,141244
2019-02-26,141389
2019-02-27,141513
2019-02-28,141655
2019-03-01,141799
2019-03-02,141903
2019-03-03,142008
2019-03-04,142125
2019-03-05,142272
2019-03-06,142425
2019-03-07,142546
2019-03-08,142701
2019-03-09,142788
2019-03-10,142849
2019-03-11,142984
2019-03-12,143161
2019-03-13,143322
2019-03-14,143489
2019-03-15,143623
2019-03-16,143723
2019-03-17,143805
2019-03-18,143928
2019-03-19,144085
2019-03-20,144241
2019-03-21,144433
2019-03-22,144553
2019-03-23,144634
2019-03-24,144718
2019-03-25,144856
2019-03-26,144995
2019-03-27,145144
2019-03-28,145287
2019-03-29,145423
2019-03-30,145542
2019-03-31,145616
2019-04-01,145744
2019-04-02,145911
2019-04-03,146071
2019-04-04,146238
2019-04-05,146364
2019-04-06,146489
2019-04-07,146556
2019-04-08,146661
2019-04-09,146801
2019-04-10,146968
2019-04-11,147152
2019-04-12,147310
2019-04-13,147421
2019-04-14,147518
2019-04-15,147629
2019-04-16,147804
2019-04-17,120322
2019-04-18,148161
2019-04-19,148310
2019-04-20,148412
2019-04-21,148496
2019-04-22,148689
2019-04-23,148914
2019-04-24,149128
2019-04-25,149312
2019-04-26,149459
2019-04-27,149554
2019-04-28,149683
2019-04-29,149793
2019-04-30,149955
2019-05-01,150059
2019-05-02,150170
2019-05-03,150315
2019-05-04,150403
2019-05-05,150538
2019-05-06,150661
2019-05-07,150810
2019-05-08,150991
2019-05-09,151173
2019-05-10,151342
2019-05-11,151441
2019-05-12,151529
2019-05-13,151651
2019-05-14,151817
2019-05-15,151988
2019-05-16,152150
2019-05-17,152297
2019-05-18,152422
2019-05-19,152515
2019-05-20,152617
2019-05-21,152769
2019-05-22,152912
2019-05-23,153058
2019-05-24,153193
2019-05-25,153312
2019-05-26,153392
2019-05-27,153505
2019-05-28,153650
2019-05-29,153823
2019-05-30,153965
2019-05-31,154122
2019-06-01,154233
2019-06-02,154304
2019-06-03,154421
2019-06-04,154625
2019-06-05,154794
2019-06-06,154953
2019-06-07,155085
2019-06-08,155188
2019-06-09,155259
2019-06-10,155361
2019-06-11,155555
2019-06-12,155719
2019-06-13,155902
2019-06-14,156053
2019-06-15,156156
2019-06-16,156245
2019-06-17,156319
2019-06-18,156468
2019-06-19,156654
2019-06-20,156803
2019-06-21,156967
2019-06-22,157066
2019-06-23,157147
2019-06-24,157255
2019-06-25,157411
2019-06-26,157575
2019-06-27,157730
2019-06-28,157893
2019-06-29,157994
2019-06-30,158063
2019-07-01,158173
2019-07-02,158334
2019-07-03,158495
2019-07-04,153550
2019-07-05,158783
2019-07-06,158882
2019-07-07,158965
2019-07-08,159089
2019-07-09,159243
2019-07-10,159406
2019-07-11,159558
2019-07-12,159685
2019-07-13,159822
2019-07-14,159891
2019-07-15,160006
2019-07-16,160175
2019-07-17,160357
2019-07-18,160528
2019-07-19,160664
2019-07-20,160780
2019-07-21,160851
2019-07-22,160975
2019-07-23,161158
2019-07-24,161336
2019-07-25,161503
2019-07-26,161663
2019-07-27,161777
2019-07-28,161856
2019-07-29,161977
2019-07-30,162124
2019-07-31,162279
2019-08-01,162404
2019-08-02,162544
2019-08-03,162658
2019-08-04,162750
2019-08-05,162865
2019-08-06,163021
2019-08-07,163166
2019-08-08,163303
2019-08-09,163446
2019-08-10,163531
2019-08-11,163612
2019-08-12,163733
2019-08-13,163905
2019-08-14,164072
2019-08-15,164215
2019-08-16,164356
2019-08-17,164459
2019-08-18,164533
2019-08-19,164652
2019-08-20,164844
2019-08-21,165028
2019-08-22,165202
2019-08-23,165351
2019-08-24,165443
2019-08-25,165522
2019-08-26,165630
2019-08-27,165789
2019-08-28,165975
2019-08-29,166139
2019-08-30,166318
2019-08-31,166412
2019-09-01,166483
2019-09-02,166614
2019-09-03,166734
2019-09-04,166888
2019-09-05,167064
2019-09-06,167254
2019-09-07,167381
2019-09-08,167476
2019-09-09,167605
2019-09-10,167802
2019-09-11,167956
2019-09-12,168130
2019-09-13,163568
2019-09-14,159134
2019-09-15,159218
2019-09-16,159334
2019-09-17,159499
2019-09-18,159684
2019-09-19,159838
2019-09-20,159981
2019-09-21,160079
2019-09-22,160156
2019-09-23,160242
2019-09-24,160408
2019-09-25,160566
2019-09-26,160739
2019-09-27,160911
2019-09-28,161015
2019-09-29,161103
2019-09-30,161210
2019-10-01,161321
2019-10-02,161445
2019-10-03,161590
2019-10-04,161718
2019-10-05,161822
2019-10-06,161890
